Sample Name	Protocol REF	Extract Name	Protocol REF	Parameter Value[Library Selection]	Parameter Value[Library Layout]	Protocol REF	Parameter Value[Sequencing Instrument]	Assay Name	Parameter Value[Read Length]	Unit	Term Source REF	Term Accession Number	Raw Data File	Protocol REF	Parameter Value[Read Depth]	Unit	Term Source REF	Term Accession Number	Parameter Value[rRNA Contamination]	Unit	Term Source REF	Term Accession Number	Parameter Value[Merged Sequence Data/Multiqc Reports]	Protocol REF	Parameter Value[trimmed sequence data]	Parameter Value[Trimmed Sequence Data/Multiqc Reports]	Parameter Value[Trimmed Sequence Data/Trimming Reports]	Parameter Value[aligned sequence data]	Parameter Value[Aligned Sequence Data/Alignment Logs]	Parameter Value[Aligned Sequence Data/MultiQC Reports]	Parameter Value[RSeQC/MultiQC Reports]	Parameter Value[Raw Counts Data]	Parameter Value[Raw Counts Data/Multiqc Reports]	Parameter Value[Raw Counts Tables]	Parameter Value[Normalized Counts Data]	Parameter Value[differential expression analysis data]
GSM3082845	Nucleic Acid Extraction	total RNA	Library Construction	polyA enrichment	SINGLE	Nucleic Acid Sequencing	Illumina HiSeq 2500	RNA-Seq	50	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	GLDS-508_rna-seq_GSM3082845_raw.fastq.gz	GeneLab raw data processing protocol	12408559	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.27	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-508_rna_seq_raw_multiqc_report.zip	GeneLab RNAseq data processing protocol	GLDS-508_rna_seq_GSM3082845_trimmed.fastq.gz	GLDS-508_rna_seq_trimmed_multiqc_report.zip	GLDS-508_rna_seq_GSM3082845_raw.fastq.gz_trimming_report.txt	GLDS-508_rna_seq_GSM3082845_Aligned.sortedByCoord_sorted.out.bam,GLDS-508_rna_seq_GSM3082845_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-508_rna_seq_GSM3082845_Aligned.toTranscriptome.out.bam,GLDS-508_rna_seq_GSM3082845_SJ.out.tab	GLDS-508_rna_seq_GSM3082845_Log.final.out	GLDS-508_rna_seq_align_multiqc_report.zip	GLDS-508_rna_seq_geneBody_cov_multiqc_report.zip,GLDS-508_rna_seq_infer_exp_multiqc_report.zip,GLDS-508_rna_seq_read_dist_multiqc_report.zip	GLDS-508_rna_seq_GSM3082845.genes.results,GLDS-508_rna_seq_GSM3082845.isoforms.results	GLDS-508_rna_seq_RSEM_count_multiqc_report.zip	GLDS-508_rna_seq_RSEM_Unnormalized_Counts.csv,GLDS-508_rna_seq_STAR_Unnormalized_Counts.csv	GLDS-508_rna_seq_Normalized_Counts.csv	GLDS-508_rna_seq_SampleTable.csv,GLDS-508_rna_seq_contrasts.csv,GLDS-508_rna_seq_differential_expression.csv
GSM3082846	Nucleic Acid Extraction	total RNA	Library Construction	polyA enrichment	SINGLE	Nucleic Acid Sequencing	Illumina HiSeq 2500	RNA-Seq	50	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	GLDS-508_rna-seq_GSM3082846_raw.fastq.gz	GeneLab raw data processing protocol	10149828	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.3	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-508_rna_seq_raw_multiqc_report.zip	GeneLab RNAseq data processing protocol	GLDS-508_rna_seq_GSM3082846_trimmed.fastq.gz	GLDS-508_rna_seq_trimmed_multiqc_report.zip	GLDS-508_rna_seq_GSM3082846_raw.fastq.gz_trimming_report.txt	GLDS-508_rna_seq_GSM3082846_Aligned.sortedByCoord_sorted.out.bam,GLDS-508_rna_seq_GSM3082846_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-508_rna_seq_GSM3082846_Aligned.toTranscriptome.out.bam,GLDS-508_rna_seq_GSM3082846_SJ.out.tab	GLDS-508_rna_seq_GSM3082846_Log.final.out	GLDS-508_rna_seq_align_multiqc_report.zip	GLDS-508_rna_seq_geneBody_cov_multiqc_report.zip,GLDS-508_rna_seq_infer_exp_multiqc_report.zip,GLDS-508_rna_seq_read_dist_multiqc_report.zip	GLDS-508_rna_seq_GSM3082846.genes.results,GLDS-508_rna_seq_GSM3082846.isoforms.results	GLDS-508_rna_seq_RSEM_count_multiqc_report.zip	GLDS-508_rna_seq_RSEM_Unnormalized_Counts.csv,GLDS-508_rna_seq_STAR_Unnormalized_Counts.csv	GLDS-508_rna_seq_Normalized_Counts.csv	GLDS-508_rna_seq_SampleTable.csv,GLDS-508_rna_seq_contrasts.csv,GLDS-508_rna_seq_differential_expression.csv
GSM3082847	Nucleic Acid Extraction	total RNA	Library Construction	polyA enrichment	SINGLE	Nucleic Acid Sequencing	Illumina HiSeq 2500	RNA-Seq	50	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	GLDS-508_rna-seq_GSM3082847_raw.fastq.gz	GeneLab raw data processing protocol	15761141	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.22	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-508_rna_seq_raw_multiqc_report.zip	GeneLab RNAseq data processing protocol	GLDS-508_rna_seq_GSM3082847_trimmed.fastq.gz	GLDS-508_rna_seq_trimmed_multiqc_report.zip	GLDS-508_rna_seq_GSM3082847_raw.fastq.gz_trimming_report.txt	GLDS-508_rna_seq_GSM3082847_Aligned.sortedByCoord_sorted.out.bam,GLDS-508_rna_seq_GSM3082847_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-508_rna_seq_GSM3082847_Aligned.toTranscriptome.out.bam,GLDS-508_rna_seq_GSM3082847_SJ.out.tab	GLDS-508_rna_seq_GSM3082847_Log.final.out	GLDS-508_rna_seq_align_multiqc_report.zip	GLDS-508_rna_seq_geneBody_cov_multiqc_report.zip,GLDS-508_rna_seq_infer_exp_multiqc_report.zip,GLDS-508_rna_seq_read_dist_multiqc_report.zip	GLDS-508_rna_seq_GSM3082847.genes.results,GLDS-508_rna_seq_GSM3082847.isoforms.results	GLDS-508_rna_seq_RSEM_count_multiqc_report.zip	GLDS-508_rna_seq_RSEM_Unnormalized_Counts.csv,GLDS-508_rna_seq_STAR_Unnormalized_Counts.csv	GLDS-508_rna_seq_Normalized_Counts.csv	GLDS-508_rna_seq_SampleTable.csv,GLDS-508_rna_seq_contrasts.csv,GLDS-508_rna_seq_differential_expression.csv
GSM3082848	Nucleic Acid Extraction	total RNA	Library Construction	polyA enrichment	SINGLE	Nucleic Acid Sequencing	Illumina HiSeq 2500	RNA-Seq	50	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	GLDS-508_rna-seq_GSM3082848_raw.fastq.gz	GeneLab raw data processing protocol	11469257	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.31	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-508_rna_seq_raw_multiqc_report.zip	GeneLab RNAseq data processing protocol	GLDS-508_rna_seq_GSM3082848_trimmed.fastq.gz	GLDS-508_rna_seq_trimmed_multiqc_report.zip	GLDS-508_rna_seq_GSM3082848_raw.fastq.gz_trimming_report.txt	GLDS-508_rna_seq_GSM3082848_Aligned.sortedByCoord_sorted.out.bam,GLDS-508_rna_seq_GSM3082848_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-508_rna_seq_GSM3082848_Aligned.toTranscriptome.out.bam,GLDS-508_rna_seq_GSM3082848_SJ.out.tab	GLDS-508_rna_seq_GSM3082848_Log.final.out	GLDS-508_rna_seq_align_multiqc_report.zip	GLDS-508_rna_seq_geneBody_cov_multiqc_report.zip,GLDS-508_rna_seq_infer_exp_multiqc_report.zip,GLDS-508_rna_seq_read_dist_multiqc_report.zip	GLDS-508_rna_seq_GSM3082848.genes.results,GLDS-508_rna_seq_GSM3082848.isoforms.results	GLDS-508_rna_seq_RSEM_count_multiqc_report.zip	GLDS-508_rna_seq_RSEM_Unnormalized_Counts.csv,GLDS-508_rna_seq_STAR_Unnormalized_Counts.csv	GLDS-508_rna_seq_Normalized_Counts.csv	GLDS-508_rna_seq_SampleTable.csv,GLDS-508_rna_seq_contrasts.csv,GLDS-508_rna_seq_differential_expression.csv
GSM3082849	Nucleic Acid Extraction	total RNA	Library Construction	polyA enrichment	SINGLE	Nucleic Acid Sequencing	Illumina HiSeq 2500	RNA-Seq	50	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	GLDS-508_rna-seq_GSM3082849_raw.fastq.gz	GeneLab raw data processing protocol	10947805	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.14	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-508_rna_seq_raw_multiqc_report.zip	GeneLab RNAseq data processing protocol	GLDS-508_rna_seq_GSM3082849_trimmed.fastq.gz	GLDS-508_rna_seq_trimmed_multiqc_report.zip	GLDS-508_rna_seq_GSM3082849_raw.fastq.gz_trimming_report.txt	GLDS-508_rna_seq_GSM3082849_Aligned.sortedByCoord_sorted.out.bam,GLDS-508_rna_seq_GSM3082849_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-508_rna_seq_GSM3082849_Aligned.toTranscriptome.out.bam,GLDS-508_rna_seq_GSM3082849_SJ.out.tab	GLDS-508_rna_seq_GSM3082849_Log.final.out	GLDS-508_rna_seq_align_multiqc_report.zip	GLDS-508_rna_seq_geneBody_cov_multiqc_report.zip,GLDS-508_rna_seq_infer_exp_multiqc_report.zip,GLDS-508_rna_seq_read_dist_multiqc_report.zip	GLDS-508_rna_seq_GSM3082849.genes.results,GLDS-508_rna_seq_GSM3082849.isoforms.results	GLDS-508_rna_seq_RSEM_count_multiqc_report.zip	GLDS-508_rna_seq_RSEM_Unnormalized_Counts.csv,GLDS-508_rna_seq_STAR_Unnormalized_Counts.csv	GLDS-508_rna_seq_Normalized_Counts.csv	GLDS-508_rna_seq_SampleTable.csv,GLDS-508_rna_seq_contrasts.csv,GLDS-508_rna_seq_differential_expression.csv
GSM3082850	Nucleic Acid Extraction	total RNA	Library Construction	polyA enrichment	SINGLE	Nucleic Acid Sequencing	Illumina HiSeq 2500	RNA-Seq	50	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	GLDS-508_rna-seq_GSM3082850_raw.fastq.gz	GeneLab raw data processing protocol	6086808	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.18	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-508_rna_seq_raw_multiqc_report.zip	GeneLab RNAseq data processing protocol	GLDS-508_rna_seq_GSM3082850_trimmed.fastq.gz	GLDS-508_rna_seq_trimmed_multiqc_report.zip	GLDS-508_rna_seq_GSM3082850_raw.fastq.gz_trimming_report.txt	GLDS-508_rna_seq_GSM3082850_Aligned.sortedByCoord_sorted.out.bam,GLDS-508_rna_seq_GSM3082850_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-508_rna_seq_GSM3082850_Aligned.toTranscriptome.out.bam,GLDS-508_rna_seq_GSM3082850_SJ.out.tab	GLDS-508_rna_seq_GSM3082850_Log.final.out	GLDS-508_rna_seq_align_multiqc_report.zip	GLDS-508_rna_seq_geneBody_cov_multiqc_report.zip,GLDS-508_rna_seq_infer_exp_multiqc_report.zip,GLDS-508_rna_seq_read_dist_multiqc_report.zip	GLDS-508_rna_seq_GSM3082850.genes.results,GLDS-508_rna_seq_GSM3082850.isoforms.results	GLDS-508_rna_seq_RSEM_count_multiqc_report.zip	GLDS-508_rna_seq_RSEM_Unnormalized_Counts.csv,GLDS-508_rna_seq_STAR_Unnormalized_Counts.csv	GLDS-508_rna_seq_Normalized_Counts.csv	GLDS-508_rna_seq_SampleTable.csv,GLDS-508_rna_seq_contrasts.csv,GLDS-508_rna_seq_differential_expression.csv
GSM3082851	Nucleic Acid Extraction	total RNA	Library Construction	polyA enrichment	SINGLE	Nucleic Acid Sequencing	Illumina HiSeq 2500	RNA-Seq	50	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	GLDS-508_rna-seq_GSM3082851_raw.fastq.gz	GeneLab raw data processing protocol	12574281	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.23	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-508_rna_seq_raw_multiqc_report.zip	GeneLab RNAseq data processing protocol	GLDS-508_rna_seq_GSM3082851_trimmed.fastq.gz	GLDS-508_rna_seq_trimmed_multiqc_report.zip	GLDS-508_rna_seq_GSM3082851_raw.fastq.gz_trimming_report.txt	GLDS-508_rna_seq_GSM3082851_Aligned.sortedByCoord_sorted.out.bam,GLDS-508_rna_seq_GSM3082851_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-508_rna_seq_GSM3082851_Aligned.toTranscriptome.out.bam,GLDS-508_rna_seq_GSM3082851_SJ.out.tab	GLDS-508_rna_seq_GSM3082851_Log.final.out	GLDS-508_rna_seq_align_multiqc_report.zip	GLDS-508_rna_seq_geneBody_cov_multiqc_report.zip,GLDS-508_rna_seq_infer_exp_multiqc_report.zip,GLDS-508_rna_seq_read_dist_multiqc_report.zip	GLDS-508_rna_seq_GSM3082851.genes.results,GLDS-508_rna_seq_GSM3082851.isoforms.results	GLDS-508_rna_seq_RSEM_count_multiqc_report.zip	GLDS-508_rna_seq_RSEM_Unnormalized_Counts.csv,GLDS-508_rna_seq_STAR_Unnormalized_Counts.csv	GLDS-508_rna_seq_Normalized_Counts.csv	GLDS-508_rna_seq_SampleTable.csv,GLDS-508_rna_seq_contrasts.csv,GLDS-508_rna_seq_differential_expression.csv
GSM3082852	Nucleic Acid Extraction	total RNA	Library Construction	polyA enrichment	SINGLE	Nucleic Acid Sequencing	Illumina HiSeq 2500	RNA-Seq	50	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	GLDS-508_rna-seq_GSM3082852_raw.fastq.gz	GeneLab raw data processing protocol	12866956	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.17	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-508_rna_seq_raw_multiqc_report.zip	GeneLab RNAseq data processing protocol	GLDS-508_rna_seq_GSM3082852_trimmed.fastq.gz	GLDS-508_rna_seq_trimmed_multiqc_report.zip	GLDS-508_rna_seq_GSM3082852_raw.fastq.gz_trimming_report.txt	GLDS-508_rna_seq_GSM3082852_Aligned.sortedByCoord_sorted.out.bam,GLDS-508_rna_seq_GSM3082852_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-508_rna_seq_GSM3082852_Aligned.toTranscriptome.out.bam,GLDS-508_rna_seq_GSM3082852_SJ.out.tab	GLDS-508_rna_seq_GSM3082852_Log.final.out	GLDS-508_rna_seq_align_multiqc_report.zip	GLDS-508_rna_seq_geneBody_cov_multiqc_report.zip,GLDS-508_rna_seq_infer_exp_multiqc_report.zip,GLDS-508_rna_seq_read_dist_multiqc_report.zip	GLDS-508_rna_seq_GSM3082852.genes.results,GLDS-508_rna_seq_GSM3082852.isoforms.results	GLDS-508_rna_seq_RSEM_count_multiqc_report.zip	GLDS-508_rna_seq_RSEM_Unnormalized_Counts.csv,GLDS-508_rna_seq_STAR_Unnormalized_Counts.csv	GLDS-508_rna_seq_Normalized_Counts.csv	GLDS-508_rna_seq_SampleTable.csv,GLDS-508_rna_seq_contrasts.csv,GLDS-508_rna_seq_differential_expression.csv
GSM3082853	Nucleic Acid Extraction	total RNA	Library Construction	polyA enrichment	SINGLE	Nucleic Acid Sequencing	Illumina HiSeq 2500	RNA-Seq	50	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	GLDS-508_rna-seq_GSM3082853_raw.fastq.gz	GeneLab raw data processing protocol	18434746	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.14	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-508_rna_seq_raw_multiqc_report.zip	GeneLab RNAseq data processing protocol	GLDS-508_rna_seq_GSM3082853_trimmed.fastq.gz	GLDS-508_rna_seq_trimmed_multiqc_report.zip	GLDS-508_rna_seq_GSM3082853_raw.fastq.gz_trimming_report.txt	GLDS-508_rna_seq_GSM3082853_Aligned.sortedByCoord_sorted.out.bam,GLDS-508_rna_seq_GSM3082853_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-508_rna_seq_GSM3082853_Aligned.toTranscriptome.out.bam,GLDS-508_rna_seq_GSM3082853_SJ.out.tab	GLDS-508_rna_seq_GSM3082853_Log.final.out	GLDS-508_rna_seq_align_multiqc_report.zip	GLDS-508_rna_seq_geneBody_cov_multiqc_report.zip,GLDS-508_rna_seq_infer_exp_multiqc_report.zip,GLDS-508_rna_seq_read_dist_multiqc_report.zip	GLDS-508_rna_seq_GSM3082853.genes.results,GLDS-508_rna_seq_GSM3082853.isoforms.results	GLDS-508_rna_seq_RSEM_count_multiqc_report.zip	GLDS-508_rna_seq_RSEM_Unnormalized_Counts.csv,GLDS-508_rna_seq_STAR_Unnormalized_Counts.csv	GLDS-508_rna_seq_Normalized_Counts.csv	GLDS-508_rna_seq_SampleTable.csv,GLDS-508_rna_seq_contrasts.csv,GLDS-508_rna_seq_differential_expression.csv
GSM3082854	Nucleic Acid Extraction	total RNA	Library Construction	polyA enrichment	SINGLE	Nucleic Acid Sequencing	Illumina HiSeq 2500	RNA-Seq	50	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	GLDS-508_rna-seq_GSM3082854_raw.fastq.gz	GeneLab raw data processing protocol	11604753	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.15	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-508_rna_seq_raw_multiqc_report.zip	GeneLab RNAseq data processing protocol	GLDS-508_rna_seq_GSM3082854_trimmed.fastq.gz	GLDS-508_rna_seq_trimmed_multiqc_report.zip	GLDS-508_rna_seq_GSM3082854_raw.fastq.gz_trimming_report.txt	GLDS-508_rna_seq_GSM3082854_Aligned.sortedByCoord_sorted.out.bam,GLDS-508_rna_seq_GSM3082854_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-508_rna_seq_GSM3082854_Aligned.toTranscriptome.out.bam,GLDS-508_rna_seq_GSM3082854_SJ.out.tab	GLDS-508_rna_seq_GSM3082854_Log.final.out	GLDS-508_rna_seq_align_multiqc_report.zip	GLDS-508_rna_seq_geneBody_cov_multiqc_report.zip,GLDS-508_rna_seq_infer_exp_multiqc_report.zip,GLDS-508_rna_seq_read_dist_multiqc_report.zip	GLDS-508_rna_seq_GSM3082854.genes.results,GLDS-508_rna_seq_GSM3082854.isoforms.results	GLDS-508_rna_seq_RSEM_count_multiqc_report.zip	GLDS-508_rna_seq_RSEM_Unnormalized_Counts.csv,GLDS-508_rna_seq_STAR_Unnormalized_Counts.csv	GLDS-508_rna_seq_Normalized_Counts.csv	GLDS-508_rna_seq_SampleTable.csv,GLDS-508_rna_seq_contrasts.csv,GLDS-508_rna_seq_differential_expression.csv
GSM3082855	Nucleic Acid Extraction	total RNA	Library Construction	polyA enrichment	SINGLE	Nucleic Acid Sequencing	Illumina HiSeq 2500	RNA-Seq	50	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	GLDS-508_rna-seq_GSM3082855_raw.fastq.gz	GeneLab raw data processing protocol	17545047	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.16	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-508_rna_seq_raw_multiqc_report.zip	GeneLab RNAseq data processing protocol	GLDS-508_rna_seq_GSM3082855_trimmed.fastq.gz	GLDS-508_rna_seq_trimmed_multiqc_report.zip	GLDS-508_rna_seq_GSM3082855_raw.fastq.gz_trimming_report.txt	GLDS-508_rna_seq_GSM3082855_Aligned.sortedByCoord_sorted.out.bam,GLDS-508_rna_seq_GSM3082855_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-508_rna_seq_GSM3082855_Aligned.toTranscriptome.out.bam,GLDS-508_rna_seq_GSM3082855_SJ.out.tab	GLDS-508_rna_seq_GSM3082855_Log.final.out	GLDS-508_rna_seq_align_multiqc_report.zip	GLDS-508_rna_seq_geneBody_cov_multiqc_report.zip,GLDS-508_rna_seq_infer_exp_multiqc_report.zip,GLDS-508_rna_seq_read_dist_multiqc_report.zip	GLDS-508_rna_seq_GSM3082855.genes.results,GLDS-508_rna_seq_GSM3082855.isoforms.results	GLDS-508_rna_seq_RSEM_count_multiqc_report.zip	GLDS-508_rna_seq_RSEM_Unnormalized_Counts.csv,GLDS-508_rna_seq_STAR_Unnormalized_Counts.csv	GLDS-508_rna_seq_Normalized_Counts.csv	GLDS-508_rna_seq_SampleTable.csv,GLDS-508_rna_seq_contrasts.csv,GLDS-508_rna_seq_differential_expression.csv
GSM3082856	Nucleic Acid Extraction	total RNA	Library Construction	polyA enrichment	SINGLE	Nucleic Acid Sequencing	Illumina HiSeq 2500	RNA-Seq	50	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	GLDS-508_rna-seq_GSM3082856_raw.fastq.gz	GeneLab raw data processing protocol	16887047	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.17	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-508_rna_seq_raw_multiqc_report.zip	GeneLab RNAseq data processing protocol	GLDS-508_rna_seq_GSM3082856_trimmed.fastq.gz	GLDS-508_rna_seq_trimmed_multiqc_report.zip	GLDS-508_rna_seq_GSM3082856_raw.fastq.gz_trimming_report.txt	GLDS-508_rna_seq_GSM3082856_Aligned.sortedByCoord_sorted.out.bam,GLDS-508_rna_seq_GSM3082856_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-508_rna_seq_GSM3082856_Aligned.toTranscriptome.out.bam,GLDS-508_rna_seq_GSM3082856_SJ.out.tab	GLDS-508_rna_seq_GSM3082856_Log.final.out	GLDS-508_rna_seq_align_multiqc_report.zip	GLDS-508_rna_seq_geneBody_cov_multiqc_report.zip,GLDS-508_rna_seq_infer_exp_multiqc_report.zip,GLDS-508_rna_seq_read_dist_multiqc_report.zip	GLDS-508_rna_seq_GSM3082856.genes.results,GLDS-508_rna_seq_GSM3082856.isoforms.results	GLDS-508_rna_seq_RSEM_count_multiqc_report.zip	GLDS-508_rna_seq_RSEM_Unnormalized_Counts.csv,GLDS-508_rna_seq_STAR_Unnormalized_Counts.csv	GLDS-508_rna_seq_Normalized_Counts.csv	GLDS-508_rna_seq_SampleTable.csv,GLDS-508_rna_seq_contrasts.csv,GLDS-508_rna_seq_differential_expression.csv
GSM3082857	Nucleic Acid Extraction	total RNA	Library Construction	polyA enrichment	SINGLE	Nucleic Acid Sequencing	Illumina HiSeq 2500	RNA-Seq	50	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	GLDS-508_rna-seq_GSM3082857_raw.fastq.gz	GeneLab raw data processing protocol	18069465	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.16	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-508_rna_seq_raw_multiqc_report.zip	GeneLab RNAseq data processing protocol	GLDS-508_rna_seq_GSM3082857_trimmed.fastq.gz	GLDS-508_rna_seq_trimmed_multiqc_report.zip	GLDS-508_rna_seq_GSM3082857_raw.fastq.gz_trimming_report.txt	GLDS-508_rna_seq_GSM3082857_Aligned.sortedByCoord_sorted.out.bam,GLDS-508_rna_seq_GSM3082857_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-508_rna_seq_GSM3082857_Aligned.toTranscriptome.out.bam,GLDS-508_rna_seq_GSM3082857_SJ.out.tab	GLDS-508_rna_seq_GSM3082857_Log.final.out	GLDS-508_rna_seq_align_multiqc_report.zip	GLDS-508_rna_seq_geneBody_cov_multiqc_report.zip,GLDS-508_rna_seq_infer_exp_multiqc_report.zip,GLDS-508_rna_seq_read_dist_multiqc_report.zip	GLDS-508_rna_seq_GSM3082857.genes.results,GLDS-508_rna_seq_GSM3082857.isoforms.results	GLDS-508_rna_seq_RSEM_count_multiqc_report.zip	GLDS-508_rna_seq_RSEM_Unnormalized_Counts.csv,GLDS-508_rna_seq_STAR_Unnormalized_Counts.csv	GLDS-508_rna_seq_Normalized_Counts.csv	GLDS-508_rna_seq_SampleTable.csv,GLDS-508_rna_seq_contrasts.csv,GLDS-508_rna_seq_differential_expression.csv
GSM3082858	Nucleic Acid Extraction	total RNA	Library Construction	polyA enrichment	SINGLE	Nucleic Acid Sequencing	Illumina HiSeq 2500	RNA-Seq	50	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	GLDS-508_rna-seq_GSM3082858_raw.fastq.gz	GeneLab raw data processing protocol	12188964	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.17	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-508_rna_seq_raw_multiqc_report.zip	GeneLab RNAseq data processing protocol	GLDS-508_rna_seq_GSM3082858_trimmed.fastq.gz	GLDS-508_rna_seq_trimmed_multiqc_report.zip	GLDS-508_rna_seq_GSM3082858_raw.fastq.gz_trimming_report.txt	GLDS-508_rna_seq_GSM3082858_Aligned.sortedByCoord_sorted.out.bam,GLDS-508_rna_seq_GSM3082858_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-508_rna_seq_GSM3082858_Aligned.toTranscriptome.out.bam,GLDS-508_rna_seq_GSM3082858_SJ.out.tab	GLDS-508_rna_seq_GSM3082858_Log.final.out	GLDS-508_rna_seq_align_multiqc_report.zip	GLDS-508_rna_seq_geneBody_cov_multiqc_report.zip,GLDS-508_rna_seq_infer_exp_multiqc_report.zip,GLDS-508_rna_seq_read_dist_multiqc_report.zip	GLDS-508_rna_seq_GSM3082858.genes.results,GLDS-508_rna_seq_GSM3082858.isoforms.results	GLDS-508_rna_seq_RSEM_count_multiqc_report.zip	GLDS-508_rna_seq_RSEM_Unnormalized_Counts.csv,GLDS-508_rna_seq_STAR_Unnormalized_Counts.csv	GLDS-508_rna_seq_Normalized_Counts.csv	GLDS-508_rna_seq_SampleTable.csv,GLDS-508_rna_seq_contrasts.csv,GLDS-508_rna_seq_differential_expression.csv
GSM3082859	Nucleic Acid Extraction	total RNA	Library Construction	polyA enrichment	SINGLE	Nucleic Acid Sequencing	Illumina HiSeq 2500	RNA-Seq	50	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	GLDS-508_rna-seq_GSM3082859_raw.fastq.gz	GeneLab raw data processing protocol	14324316	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.18	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-508_rna_seq_raw_multiqc_report.zip	GeneLab RNAseq data processing protocol	GLDS-508_rna_seq_GSM3082859_trimmed.fastq.gz	GLDS-508_rna_seq_trimmed_multiqc_report.zip	GLDS-508_rna_seq_GSM3082859_raw.fastq.gz_trimming_report.txt	GLDS-508_rna_seq_GSM3082859_Aligned.sortedByCoord_sorted.out.bam,GLDS-508_rna_seq_GSM3082859_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-508_rna_seq_GSM3082859_Aligned.toTranscriptome.out.bam,GLDS-508_rna_seq_GSM3082859_SJ.out.tab	GLDS-508_rna_seq_GSM3082859_Log.final.out	GLDS-508_rna_seq_align_multiqc_report.zip	GLDS-508_rna_seq_geneBody_cov_multiqc_report.zip,GLDS-508_rna_seq_infer_exp_multiqc_report.zip,GLDS-508_rna_seq_read_dist_multiqc_report.zip	GLDS-508_rna_seq_GSM3082859.genes.results,GLDS-508_rna_seq_GSM3082859.isoforms.results	GLDS-508_rna_seq_RSEM_count_multiqc_report.zip	GLDS-508_rna_seq_RSEM_Unnormalized_Counts.csv,GLDS-508_rna_seq_STAR_Unnormalized_Counts.csv	GLDS-508_rna_seq_Normalized_Counts.csv	GLDS-508_rna_seq_SampleTable.csv,GLDS-508_rna_seq_contrasts.csv,GLDS-508_rna_seq_differential_expression.csv
