Sample Name	Protocol REF	Extract Name	Protocol REF	Parameter Value[Library Selection]	Parameter Value[Library Layout]	Protocol REF	Parameter Value[Sequencing Instrument]	Assay Name	Parameter Value[Read Length]	Unit	Term Source REF	Term Accession Number	Raw Data File	Protocol REF	Parameter Value[Read Depth]	Unit	Term Source REF	Term Accession Number	Parameter Value[rRNA Contamination]	Unit	Term Source REF	Term Accession Number	Parameter Value[MultiQC File Names]	Protocol REF	Parameter Value[trimmed sequence data]	Parameter Value[Trimmed Sequence Data/Multiqc Reports]	Parameter Value[Trimmed Sequence Data/Trimming Reports]	Parameter Value[aligned sequence data]	Parameter Value[Aligned Sequence Data/Alignment Logs]	Parameter Value[Aligned Sequence Data/MultiQC Reports]	Parameter Value[RSeQC/MultiQC Reports]	Parameter Value[Raw Counts Data]	Parameter Value[Raw Counts Data/Multiqc Reports]	Parameter Value[Raw Counts Tables]	Parameter Value[Normalized Counts Data]	Parameter Value[differential expression analysis data]
GSM3072312	Nucleic Acid Extraction	total RNA	Library Construction	polyA enrichment	SINGLE	Nucleic Acid Sequencing	Illumina HiSeq 2500	RNA-Seq	50	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	GLDS-510_rna-seq_GSM3072312_raw.fastq.gz	GeneLab raw data processing protocol	15166862	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.09	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-510_rna_seq_raw_multiqc_report.zip	GeneLab RNAseq data processing protocol	GLDS-510_rna_seq_GSM3072312_trimmed.fastq.gz	GLDS-510_rna_seq_trimmed_multiqc_report.zip	GLDS-510_rna_seq_GSM3072312_raw.fastq.gz_trimming_report.txt	GLDS-510_rna_seq_GSM3072312_Aligned.sortedByCoord_sorted.out.bam,GLDS-510_rna_seq_GSM3072312_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-510_rna_seq_GSM3072312_Aligned.toTranscriptome.out.bam,GLDS-510_rna_seq_GSM3072312_SJ.out.tab	GLDS-510_rna_seq_GSM3072312_Log.final.out	GLDS-510_rna_seq_align_multiqc_report.zip	GLDS-510_rna_seq_geneBody_cov_multiqc_report.zip,GLDS-510_rna_seq_infer_exp_multiqc_report.zip,GLDS-510_rna_seq_read_dist_multiqc_report.zip	GLDS-510_rna_seq_GSM3072312.genes.results,GLDS-510_rna_seq_GSM3072312.isoforms.results	GLDS-510_rna_seq_RSEM_count_multiqc_report.zip	GLDS-510_rna_seq_RSEM_Unnormalized_Counts.csv,GLDS-510_rna_seq_STAR_Unnormalized_Counts.csv	GLDS-510_rna_seq_Normalized_Counts.csv	GLDS-510_rna_seq_SampleTable.csv,GLDS-510_rna_seq_contrasts.csv,GLDS-510_rna_seq_differential_expression.csv
GSM3072313	Nucleic Acid Extraction	total RNA	Library Construction	polyA enrichment	SINGLE	Nucleic Acid Sequencing	Illumina HiSeq 2500	RNA-Seq	50	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	GLDS-510_rna-seq_GSM3072313_raw.fastq.gz	GeneLab raw data processing protocol	9814363	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.17	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-510_rna_seq_raw_multiqc_report.zip	GeneLab RNAseq data processing protocol	GLDS-510_rna_seq_GSM3072313_trimmed.fastq.gz	GLDS-510_rna_seq_trimmed_multiqc_report.zip	GLDS-510_rna_seq_GSM3072313_raw.fastq.gz_trimming_report.txt	GLDS-510_rna_seq_GSM3072313_Aligned.sortedByCoord_sorted.out.bam,GLDS-510_rna_seq_GSM3072313_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-510_rna_seq_GSM3072313_Aligned.toTranscriptome.out.bam,GLDS-510_rna_seq_GSM3072313_SJ.out.tab	GLDS-510_rna_seq_GSM3072313_Log.final.out	GLDS-510_rna_seq_align_multiqc_report.zip	GLDS-510_rna_seq_geneBody_cov_multiqc_report.zip,GLDS-510_rna_seq_infer_exp_multiqc_report.zip,GLDS-510_rna_seq_read_dist_multiqc_report.zip	GLDS-510_rna_seq_GSM3072313.genes.results,GLDS-510_rna_seq_GSM3072313.isoforms.results	GLDS-510_rna_seq_RSEM_count_multiqc_report.zip	GLDS-510_rna_seq_RSEM_Unnormalized_Counts.csv,GLDS-510_rna_seq_STAR_Unnormalized_Counts.csv	GLDS-510_rna_seq_Normalized_Counts.csv	GLDS-510_rna_seq_SampleTable.csv,GLDS-510_rna_seq_contrasts.csv,GLDS-510_rna_seq_differential_expression.csv
GSM3072314	Nucleic Acid Extraction	total RNA	Library Construction	polyA enrichment	SINGLE	Nucleic Acid Sequencing	Illumina HiSeq 2500	RNA-Seq	50	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	GLDS-510_rna-seq_GSM3072314_raw.fastq.gz	GeneLab raw data processing protocol	8871733	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.22	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-510_rna_seq_raw_multiqc_report.zip	GeneLab RNAseq data processing protocol	GLDS-510_rna_seq_GSM3072314_trimmed.fastq.gz	GLDS-510_rna_seq_trimmed_multiqc_report.zip	GLDS-510_rna_seq_GSM3072314_raw.fastq.gz_trimming_report.txt	GLDS-510_rna_seq_GSM3072314_Aligned.sortedByCoord_sorted.out.bam,GLDS-510_rna_seq_GSM3072314_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-510_rna_seq_GSM3072314_Aligned.toTranscriptome.out.bam,GLDS-510_rna_seq_GSM3072314_SJ.out.tab	GLDS-510_rna_seq_GSM3072314_Log.final.out	GLDS-510_rna_seq_align_multiqc_report.zip	GLDS-510_rna_seq_geneBody_cov_multiqc_report.zip,GLDS-510_rna_seq_infer_exp_multiqc_report.zip,GLDS-510_rna_seq_read_dist_multiqc_report.zip	GLDS-510_rna_seq_GSM3072314.genes.results,GLDS-510_rna_seq_GSM3072314.isoforms.results	GLDS-510_rna_seq_RSEM_count_multiqc_report.zip	GLDS-510_rna_seq_RSEM_Unnormalized_Counts.csv,GLDS-510_rna_seq_STAR_Unnormalized_Counts.csv	GLDS-510_rna_seq_Normalized_Counts.csv	GLDS-510_rna_seq_SampleTable.csv,GLDS-510_rna_seq_contrasts.csv,GLDS-510_rna_seq_differential_expression.csv
GSM3072315	Nucleic Acid Extraction	total RNA	Library Construction	polyA enrichment	SINGLE	Nucleic Acid Sequencing	Illumina HiSeq 2500	RNA-Seq	50	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	GLDS-510_rna-seq_GSM3072315_raw.fastq.gz	GeneLab raw data processing protocol	9936285	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.3	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-510_rna_seq_raw_multiqc_report.zip	GeneLab RNAseq data processing protocol	GLDS-510_rna_seq_GSM3072315_trimmed.fastq.gz	GLDS-510_rna_seq_trimmed_multiqc_report.zip	GLDS-510_rna_seq_GSM3072315_raw.fastq.gz_trimming_report.txt	GLDS-510_rna_seq_GSM3072315_Aligned.sortedByCoord_sorted.out.bam,GLDS-510_rna_seq_GSM3072315_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-510_rna_seq_GSM3072315_Aligned.toTranscriptome.out.bam,GLDS-510_rna_seq_GSM3072315_SJ.out.tab	GLDS-510_rna_seq_GSM3072315_Log.final.out	GLDS-510_rna_seq_align_multiqc_report.zip	GLDS-510_rna_seq_geneBody_cov_multiqc_report.zip,GLDS-510_rna_seq_infer_exp_multiqc_report.zip,GLDS-510_rna_seq_read_dist_multiqc_report.zip	GLDS-510_rna_seq_GSM3072315.genes.results,GLDS-510_rna_seq_GSM3072315.isoforms.results	GLDS-510_rna_seq_RSEM_count_multiqc_report.zip	GLDS-510_rna_seq_RSEM_Unnormalized_Counts.csv,GLDS-510_rna_seq_STAR_Unnormalized_Counts.csv	GLDS-510_rna_seq_Normalized_Counts.csv	GLDS-510_rna_seq_SampleTable.csv,GLDS-510_rna_seq_contrasts.csv,GLDS-510_rna_seq_differential_expression.csv
GSM3072316	Nucleic Acid Extraction	total RNA	Library Construction	polyA enrichment	SINGLE	Nucleic Acid Sequencing	Illumina HiSeq 2500	RNA-Seq	50	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	GLDS-510_rna-seq_GSM3072316_raw.fastq.gz	GeneLab raw data processing protocol	13042820	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.25	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-510_rna_seq_raw_multiqc_report.zip	GeneLab RNAseq data processing protocol	GLDS-510_rna_seq_GSM3072316_trimmed.fastq.gz	GLDS-510_rna_seq_trimmed_multiqc_report.zip	GLDS-510_rna_seq_GSM3072316_raw.fastq.gz_trimming_report.txt	GLDS-510_rna_seq_GSM3072316_Aligned.sortedByCoord_sorted.out.bam,GLDS-510_rna_seq_GSM3072316_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-510_rna_seq_GSM3072316_Aligned.toTranscriptome.out.bam,GLDS-510_rna_seq_GSM3072316_SJ.out.tab	GLDS-510_rna_seq_GSM3072316_Log.final.out	GLDS-510_rna_seq_align_multiqc_report.zip	GLDS-510_rna_seq_geneBody_cov_multiqc_report.zip,GLDS-510_rna_seq_infer_exp_multiqc_report.zip,GLDS-510_rna_seq_read_dist_multiqc_report.zip	GLDS-510_rna_seq_GSM3072316.genes.results,GLDS-510_rna_seq_GSM3072316.isoforms.results	GLDS-510_rna_seq_RSEM_count_multiqc_report.zip	GLDS-510_rna_seq_RSEM_Unnormalized_Counts.csv,GLDS-510_rna_seq_STAR_Unnormalized_Counts.csv	GLDS-510_rna_seq_Normalized_Counts.csv	GLDS-510_rna_seq_SampleTable.csv,GLDS-510_rna_seq_contrasts.csv,GLDS-510_rna_seq_differential_expression.csv
GSM3072317	Nucleic Acid Extraction	total RNA	Library Construction	polyA enrichment	SINGLE	Nucleic Acid Sequencing	Illumina HiSeq 2500	RNA-Seq	50	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	GLDS-510_rna-seq_GSM3072317_raw.fastq.gz	GeneLab raw data processing protocol	11500757	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.33	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-510_rna_seq_raw_multiqc_report.zip	GeneLab RNAseq data processing protocol	GLDS-510_rna_seq_GSM3072317_trimmed.fastq.gz	GLDS-510_rna_seq_trimmed_multiqc_report.zip	GLDS-510_rna_seq_GSM3072317_raw.fastq.gz_trimming_report.txt	GLDS-510_rna_seq_GSM3072317_Aligned.sortedByCoord_sorted.out.bam,GLDS-510_rna_seq_GSM3072317_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-510_rna_seq_GSM3072317_Aligned.toTranscriptome.out.bam,GLDS-510_rna_seq_GSM3072317_SJ.out.tab	GLDS-510_rna_seq_GSM3072317_Log.final.out	GLDS-510_rna_seq_align_multiqc_report.zip	GLDS-510_rna_seq_geneBody_cov_multiqc_report.zip,GLDS-510_rna_seq_infer_exp_multiqc_report.zip,GLDS-510_rna_seq_read_dist_multiqc_report.zip	GLDS-510_rna_seq_GSM3072317.genes.results,GLDS-510_rna_seq_GSM3072317.isoforms.results	GLDS-510_rna_seq_RSEM_count_multiqc_report.zip	GLDS-510_rna_seq_RSEM_Unnormalized_Counts.csv,GLDS-510_rna_seq_STAR_Unnormalized_Counts.csv	GLDS-510_rna_seq_Normalized_Counts.csv	GLDS-510_rna_seq_SampleTable.csv,GLDS-510_rna_seq_contrasts.csv,GLDS-510_rna_seq_differential_expression.csv
GSM3072318	Nucleic Acid Extraction	total RNA	Library Construction	polyA enrichment	SINGLE	Nucleic Acid Sequencing	Illumina HiSeq 2500	RNA-Seq	50	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	GLDS-510_rna-seq_GSM3072318_raw.fastq.gz	GeneLab raw data processing protocol	14737804	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.22	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-510_rna_seq_raw_multiqc_report.zip	GeneLab RNAseq data processing protocol	GLDS-510_rna_seq_GSM3072318_trimmed.fastq.gz	GLDS-510_rna_seq_trimmed_multiqc_report.zip	GLDS-510_rna_seq_GSM3072318_raw.fastq.gz_trimming_report.txt	GLDS-510_rna_seq_GSM3072318_Aligned.sortedByCoord_sorted.out.bam,GLDS-510_rna_seq_GSM3072318_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-510_rna_seq_GSM3072318_Aligned.toTranscriptome.out.bam,GLDS-510_rna_seq_GSM3072318_SJ.out.tab	GLDS-510_rna_seq_GSM3072318_Log.final.out	GLDS-510_rna_seq_align_multiqc_report.zip	GLDS-510_rna_seq_geneBody_cov_multiqc_report.zip,GLDS-510_rna_seq_infer_exp_multiqc_report.zip,GLDS-510_rna_seq_read_dist_multiqc_report.zip	GLDS-510_rna_seq_GSM3072318.genes.results,GLDS-510_rna_seq_GSM3072318.isoforms.results	GLDS-510_rna_seq_RSEM_count_multiqc_report.zip	GLDS-510_rna_seq_RSEM_Unnormalized_Counts.csv,GLDS-510_rna_seq_STAR_Unnormalized_Counts.csv	GLDS-510_rna_seq_Normalized_Counts.csv	GLDS-510_rna_seq_SampleTable.csv,GLDS-510_rna_seq_contrasts.csv,GLDS-510_rna_seq_differential_expression.csv
GSM3072319	Nucleic Acid Extraction	total RNA	Library Construction	polyA enrichment	SINGLE	Nucleic Acid Sequencing	Illumina HiSeq 2500	RNA-Seq	50	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	GLDS-510_rna-seq_GSM3072319_raw.fastq.gz	GeneLab raw data processing protocol	12158013	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.25	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-510_rna_seq_raw_multiqc_report.zip	GeneLab RNAseq data processing protocol	GLDS-510_rna_seq_GSM3072319_trimmed.fastq.gz	GLDS-510_rna_seq_trimmed_multiqc_report.zip	GLDS-510_rna_seq_GSM3072319_raw.fastq.gz_trimming_report.txt	GLDS-510_rna_seq_GSM3072319_Aligned.sortedByCoord_sorted.out.bam,GLDS-510_rna_seq_GSM3072319_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-510_rna_seq_GSM3072319_Aligned.toTranscriptome.out.bam,GLDS-510_rna_seq_GSM3072319_SJ.out.tab	GLDS-510_rna_seq_GSM3072319_Log.final.out	GLDS-510_rna_seq_align_multiqc_report.zip	GLDS-510_rna_seq_geneBody_cov_multiqc_report.zip,GLDS-510_rna_seq_infer_exp_multiqc_report.zip,GLDS-510_rna_seq_read_dist_multiqc_report.zip	GLDS-510_rna_seq_GSM3072319.genes.results,GLDS-510_rna_seq_GSM3072319.isoforms.results	GLDS-510_rna_seq_RSEM_count_multiqc_report.zip	GLDS-510_rna_seq_RSEM_Unnormalized_Counts.csv,GLDS-510_rna_seq_STAR_Unnormalized_Counts.csv	GLDS-510_rna_seq_Normalized_Counts.csv	GLDS-510_rna_seq_SampleTable.csv,GLDS-510_rna_seq_contrasts.csv,GLDS-510_rna_seq_differential_expression.csv
GSM3072320	Nucleic Acid Extraction	total RNA	Library Construction	polyA enrichment	SINGLE	Nucleic Acid Sequencing	Illumina HiSeq 2500	RNA-Seq	50	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	GLDS-510_rna-seq_GSM3072320_raw.fastq.gz	GeneLab raw data processing protocol	9947014	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.18	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-510_rna_seq_raw_multiqc_report.zip	GeneLab RNAseq data processing protocol	GLDS-510_rna_seq_GSM3072320_trimmed.fastq.gz	GLDS-510_rna_seq_trimmed_multiqc_report.zip	GLDS-510_rna_seq_GSM3072320_raw.fastq.gz_trimming_report.txt	GLDS-510_rna_seq_GSM3072320_Aligned.sortedByCoord_sorted.out.bam,GLDS-510_rna_seq_GSM3072320_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-510_rna_seq_GSM3072320_Aligned.toTranscriptome.out.bam,GLDS-510_rna_seq_GSM3072320_SJ.out.tab	GLDS-510_rna_seq_GSM3072320_Log.final.out	GLDS-510_rna_seq_align_multiqc_report.zip	GLDS-510_rna_seq_geneBody_cov_multiqc_report.zip,GLDS-510_rna_seq_infer_exp_multiqc_report.zip,GLDS-510_rna_seq_read_dist_multiqc_report.zip	GLDS-510_rna_seq_GSM3072320.genes.results,GLDS-510_rna_seq_GSM3072320.isoforms.results	GLDS-510_rna_seq_RSEM_count_multiqc_report.zip	GLDS-510_rna_seq_RSEM_Unnormalized_Counts.csv,GLDS-510_rna_seq_STAR_Unnormalized_Counts.csv	GLDS-510_rna_seq_Normalized_Counts.csv	GLDS-510_rna_seq_SampleTable.csv,GLDS-510_rna_seq_contrasts.csv,GLDS-510_rna_seq_differential_expression.csv
GSM3072321	Nucleic Acid Extraction	total RNA	Library Construction	polyA enrichment	SINGLE	Nucleic Acid Sequencing	Illumina HiSeq 2500	RNA-Seq	50	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	GLDS-510_rna-seq_GSM3072321_raw.fastq.gz	GeneLab raw data processing protocol	9875945	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.14	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-510_rna_seq_raw_multiqc_report.zip	GeneLab RNAseq data processing protocol	GLDS-510_rna_seq_GSM3072321_trimmed.fastq.gz	GLDS-510_rna_seq_trimmed_multiqc_report.zip	GLDS-510_rna_seq_GSM3072321_raw.fastq.gz_trimming_report.txt	GLDS-510_rna_seq_GSM3072321_Aligned.sortedByCoord_sorted.out.bam,GLDS-510_rna_seq_GSM3072321_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-510_rna_seq_GSM3072321_Aligned.toTranscriptome.out.bam,GLDS-510_rna_seq_GSM3072321_SJ.out.tab	GLDS-510_rna_seq_GSM3072321_Log.final.out	GLDS-510_rna_seq_align_multiqc_report.zip	GLDS-510_rna_seq_geneBody_cov_multiqc_report.zip,GLDS-510_rna_seq_infer_exp_multiqc_report.zip,GLDS-510_rna_seq_read_dist_multiqc_report.zip	GLDS-510_rna_seq_GSM3072321.genes.results,GLDS-510_rna_seq_GSM3072321.isoforms.results	GLDS-510_rna_seq_RSEM_count_multiqc_report.zip	GLDS-510_rna_seq_RSEM_Unnormalized_Counts.csv,GLDS-510_rna_seq_STAR_Unnormalized_Counts.csv	GLDS-510_rna_seq_Normalized_Counts.csv	GLDS-510_rna_seq_SampleTable.csv,GLDS-510_rna_seq_contrasts.csv,GLDS-510_rna_seq_differential_expression.csv
GSM3072322	Nucleic Acid Extraction	total RNA	Library Construction	polyA enrichment	SINGLE	Nucleic Acid Sequencing	Illumina HiSeq 2500	RNA-Seq	50	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	GLDS-510_rna-seq_GSM3072322_raw.fastq.gz	GeneLab raw data processing protocol	7078493	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.17	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-510_rna_seq_raw_multiqc_report.zip	GeneLab RNAseq data processing protocol	GLDS-510_rna_seq_GSM3072322_trimmed.fastq.gz	GLDS-510_rna_seq_trimmed_multiqc_report.zip	GLDS-510_rna_seq_GSM3072322_raw.fastq.gz_trimming_report.txt	GLDS-510_rna_seq_GSM3072322_Aligned.sortedByCoord_sorted.out.bam,GLDS-510_rna_seq_GSM3072322_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-510_rna_seq_GSM3072322_Aligned.toTranscriptome.out.bam,GLDS-510_rna_seq_GSM3072322_SJ.out.tab	GLDS-510_rna_seq_GSM3072322_Log.final.out	GLDS-510_rna_seq_align_multiqc_report.zip	GLDS-510_rna_seq_geneBody_cov_multiqc_report.zip,GLDS-510_rna_seq_infer_exp_multiqc_report.zip,GLDS-510_rna_seq_read_dist_multiqc_report.zip	GLDS-510_rna_seq_GSM3072322.genes.results,GLDS-510_rna_seq_GSM3072322.isoforms.results	GLDS-510_rna_seq_RSEM_count_multiqc_report.zip	GLDS-510_rna_seq_RSEM_Unnormalized_Counts.csv,GLDS-510_rna_seq_STAR_Unnormalized_Counts.csv	GLDS-510_rna_seq_Normalized_Counts.csv	GLDS-510_rna_seq_SampleTable.csv,GLDS-510_rna_seq_contrasts.csv,GLDS-510_rna_seq_differential_expression.csv
GSM3072323	Nucleic Acid Extraction	total RNA	Library Construction	polyA enrichment	SINGLE	Nucleic Acid Sequencing	Illumina HiSeq 2500	RNA-Seq	50	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	GLDS-510_rna-seq_GSM3072323_raw.fastq.gz	GeneLab raw data processing protocol	10772975	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.26	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-510_rna_seq_raw_multiqc_report.zip	GeneLab RNAseq data processing protocol	GLDS-510_rna_seq_GSM3072323_trimmed.fastq.gz	GLDS-510_rna_seq_trimmed_multiqc_report.zip	GLDS-510_rna_seq_GSM3072323_raw.fastq.gz_trimming_report.txt	GLDS-510_rna_seq_GSM3072323_Aligned.sortedByCoord_sorted.out.bam,GLDS-510_rna_seq_GSM3072323_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-510_rna_seq_GSM3072323_Aligned.toTranscriptome.out.bam,GLDS-510_rna_seq_GSM3072323_SJ.out.tab	GLDS-510_rna_seq_GSM3072323_Log.final.out	GLDS-510_rna_seq_align_multiqc_report.zip	GLDS-510_rna_seq_geneBody_cov_multiqc_report.zip,GLDS-510_rna_seq_infer_exp_multiqc_report.zip,GLDS-510_rna_seq_read_dist_multiqc_report.zip	GLDS-510_rna_seq_GSM3072323.genes.results,GLDS-510_rna_seq_GSM3072323.isoforms.results	GLDS-510_rna_seq_RSEM_count_multiqc_report.zip	GLDS-510_rna_seq_RSEM_Unnormalized_Counts.csv,GLDS-510_rna_seq_STAR_Unnormalized_Counts.csv	GLDS-510_rna_seq_Normalized_Counts.csv	GLDS-510_rna_seq_SampleTable.csv,GLDS-510_rna_seq_contrasts.csv,GLDS-510_rna_seq_differential_expression.csv
GSM3072324	Nucleic Acid Extraction	total RNA	Library Construction	polyA enrichment	SINGLE	Nucleic Acid Sequencing	Illumina HiSeq 2500	RNA-Seq	50	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	GLDS-510_rna-seq_GSM3072324_raw.fastq.gz	GeneLab raw data processing protocol	11348974	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.19	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-510_rna_seq_raw_multiqc_report.zip	GeneLab RNAseq data processing protocol	GLDS-510_rna_seq_GSM3072324_trimmed.fastq.gz	GLDS-510_rna_seq_trimmed_multiqc_report.zip	GLDS-510_rna_seq_GSM3072324_raw.fastq.gz_trimming_report.txt	GLDS-510_rna_seq_GSM3072324_Aligned.sortedByCoord_sorted.out.bam,GLDS-510_rna_seq_GSM3072324_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-510_rna_seq_GSM3072324_Aligned.toTranscriptome.out.bam,GLDS-510_rna_seq_GSM3072324_SJ.out.tab	GLDS-510_rna_seq_GSM3072324_Log.final.out	GLDS-510_rna_seq_align_multiqc_report.zip	GLDS-510_rna_seq_geneBody_cov_multiqc_report.zip,GLDS-510_rna_seq_infer_exp_multiqc_report.zip,GLDS-510_rna_seq_read_dist_multiqc_report.zip	GLDS-510_rna_seq_GSM3072324.genes.results,GLDS-510_rna_seq_GSM3072324.isoforms.results	GLDS-510_rna_seq_RSEM_count_multiqc_report.zip	GLDS-510_rna_seq_RSEM_Unnormalized_Counts.csv,GLDS-510_rna_seq_STAR_Unnormalized_Counts.csv	GLDS-510_rna_seq_Normalized_Counts.csv	GLDS-510_rna_seq_SampleTable.csv,GLDS-510_rna_seq_contrasts.csv,GLDS-510_rna_seq_differential_expression.csv
GSM3072325	Nucleic Acid Extraction	total RNA	Library Construction	polyA enrichment	SINGLE	Nucleic Acid Sequencing	Illumina HiSeq 2500	RNA-Seq	50	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	GLDS-510_rna-seq_GSM3072325_raw.fastq.gz	GeneLab raw data processing protocol	15095684	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.22	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-510_rna_seq_raw_multiqc_report.zip	GeneLab RNAseq data processing protocol	GLDS-510_rna_seq_GSM3072325_trimmed.fastq.gz	GLDS-510_rna_seq_trimmed_multiqc_report.zip	GLDS-510_rna_seq_GSM3072325_raw.fastq.gz_trimming_report.txt	GLDS-510_rna_seq_GSM3072325_Aligned.sortedByCoord_sorted.out.bam,GLDS-510_rna_seq_GSM3072325_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-510_rna_seq_GSM3072325_Aligned.toTranscriptome.out.bam,GLDS-510_rna_seq_GSM3072325_SJ.out.tab	GLDS-510_rna_seq_GSM3072325_Log.final.out	GLDS-510_rna_seq_align_multiqc_report.zip	GLDS-510_rna_seq_geneBody_cov_multiqc_report.zip,GLDS-510_rna_seq_infer_exp_multiqc_report.zip,GLDS-510_rna_seq_read_dist_multiqc_report.zip	GLDS-510_rna_seq_GSM3072325.genes.results,GLDS-510_rna_seq_GSM3072325.isoforms.results	GLDS-510_rna_seq_RSEM_count_multiqc_report.zip	GLDS-510_rna_seq_RSEM_Unnormalized_Counts.csv,GLDS-510_rna_seq_STAR_Unnormalized_Counts.csv	GLDS-510_rna_seq_Normalized_Counts.csv	GLDS-510_rna_seq_SampleTable.csv,GLDS-510_rna_seq_contrasts.csv,GLDS-510_rna_seq_differential_expression.csv
GSM3072326	Nucleic Acid Extraction	total RNA	Library Construction	polyA enrichment	SINGLE	Nucleic Acid Sequencing	Illumina HiSeq 2500	RNA-Seq	50	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	GLDS-510_rna-seq_GSM3072326_raw.fastq.gz	GeneLab raw data processing protocol	16298563	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.3	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-510_rna_seq_raw_multiqc_report.zip	GeneLab RNAseq data processing protocol	GLDS-510_rna_seq_GSM3072326_trimmed.fastq.gz	GLDS-510_rna_seq_trimmed_multiqc_report.zip	GLDS-510_rna_seq_GSM3072326_raw.fastq.gz_trimming_report.txt	GLDS-510_rna_seq_GSM3072326_Aligned.sortedByCoord_sorted.out.bam,GLDS-510_rna_seq_GSM3072326_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-510_rna_seq_GSM3072326_Aligned.toTranscriptome.out.bam,GLDS-510_rna_seq_GSM3072326_SJ.out.tab	GLDS-510_rna_seq_GSM3072326_Log.final.out	GLDS-510_rna_seq_align_multiqc_report.zip	GLDS-510_rna_seq_geneBody_cov_multiqc_report.zip,GLDS-510_rna_seq_infer_exp_multiqc_report.zip,GLDS-510_rna_seq_read_dist_multiqc_report.zip	GLDS-510_rna_seq_GSM3072326.genes.results,GLDS-510_rna_seq_GSM3072326.isoforms.results	GLDS-510_rna_seq_RSEM_count_multiqc_report.zip	GLDS-510_rna_seq_RSEM_Unnormalized_Counts.csv,GLDS-510_rna_seq_STAR_Unnormalized_Counts.csv	GLDS-510_rna_seq_Normalized_Counts.csv	GLDS-510_rna_seq_SampleTable.csv,GLDS-510_rna_seq_contrasts.csv,GLDS-510_rna_seq_differential_expression.csv
